climber_id,year,season,route,age,sex,is_hired_staff,years_climbing,prior_8000m_peaks,prior_everest_attempts,highest_prev_altitude_m,operator_tier,team_size,sherpa_ratio,uses_oxygen,o2_start_altitude_m,days_acclimatizing,camps_established,summit_window_days,weather_score,jetstream_risk,queue_minutes_above_8000,turnaround_reason,serious_incident,summited
CLB000010,1995,autumn,South Col-SE Ridge,28,M,0,8,1,0,8660,budget,9,0.48,1,7000,28,4,4,7.2,0.9,16,weather_window_closed,0,0
CLB000011,2026,spring,South Col-SE Ridge,35,F,0,13,2,0,8020,budget,4,0.83,1,7000,30,1,4,5.4,4.7,147,death_zone_crowding,0,0
CLB000012,2020,spring,South Col-SE Ridge,40,M,1,12,3,0,8301,budget,9,0.23,1,7300,23,2,6,5.3,7.0,171,death_zone_crowding,0,0
CLB000013,2020,spring,other,62,M,0,19,0,0,7696,mid,9,1.28,1,7000,28,3,7,3.5,7.1,30,illness,0,0
CLB000014,2016,spring,North Ridge-NE,42,M,0,13,0,0,7646,premium,7,1.36,1,7000,30,6,4,8.4,3.6,17,exhaustion_altitude_sickness,0,0
CLB000015,2010,autumn,South Col-SE Ridge,24,M,0,15,1,0,8559,mid,13,1.24,1,7900,16,6,7,6.6,3.0,9,other,0,0
CLB000016,2017,spring,South Col-SE Ridge,33,M,1,26,1,1,8195,budget,14,0.66,1,7900,38,3,7,4.4,5.2,15,summited,0,1
CLB000017,1996,spring,North Ridge-NE,34,M,0,15,0,0,7197,budget,9,0.37,1,7000,34,2,6,5.3,8.2,4,illness,0,0
CLB000018,2005,autumn,South Col-SE Ridge,38,M,0,7,1,1,8241,budget,10,0.34,1,7900,40,2,6,7.8,0.0,24,summited,0,1
CLB000019,1998,spring,South Col-SE Ridge,54,M,1,8,1,1,7928,mid,8,1.37,1,7300,29,6,7,6.2,4.0,20,summited,0,1
CLB000020,2022,spring,South Col-SE Ridge,30,M,0,15,0,0,6287,budget,9,0.55,1,7300,37,2,5,4.6,5.0,125,summited,0,1
CLB000021,2018,spring,South Col-SE Ridge,31,F,0,5,0,0,6183,mid,5,0.99,1,7900,32,4,2,8.0,1.3,111,exhaustion_altitude_sickness,0,0
CLB000022,2025,spring,South Col-SE Ridge,21,M,0,11,3,1,8646,premium,9,1.76,1,7300,26,5,6,4.3,4.7,57,summited,0,1
CLB000023,1996,spring,South Col-SE Ridge,29,M,0,10,2,0,8496,mid,11,1.39,1,7300,29,1,7,3.6,6.7,7,weather_window_closed,0,0
CLB000024,2017,spring,South Col-SE Ridge,21,M,0,24,2,0,8319,mid,10,0.85,0,0,28,2,3,7.3,4.4,140,weather_window_closed,0,0
CLB000025,2002,spring,South Col-SE Ridge,32,F,0,17,1,0,7663,independent,9,0.48,1,8000,36,3,3,4.1,7.0,9,weather_window_closed,0,0
CLB000026,2014,spring,South Col-SE Ridge,37,M,1,9,4,1,8153,budget,14,0.95,1,7300,25,4,2,8.6,2.4,77,summited,0,1
CLB000027,2002,spring,North Ridge-NE,38,M,1,11,3,0,8800,independent,5,0.0,1,7300,30,5,6,4.4,4.9,7,weather_window_closed,0,0
CLB000028,2021,autumn,North Ridge-NE,26,M,0,13,1,0,7919,budget,12,0.56,1,7000,29,2,2,9.3,1.0,74,frostbite,0,0
CLB000029,1999,spring,South Col-SE Ridge,31,M,0,19,0,1,8614,independent,14,0.53,1,7300,27,5,5,3.8,7.2,5,other,0,0
CLB000030,1995,spring,other,41,F,1,21,6,1,7882,premium,10,1.29,1,7000,36,4,4,4.0,6.0,5,summited,0,1
CLB000031,2000,spring,North Ridge-NE,36,M,1,13,6,2,8007,mid,11,0.53,1,7300,34,6,3,6.6,1.9,2,summited,0,1
CLB000032,2018,spring,South Col-SE Ridge,27,M,0,11,2,0,7617,budget,10,0.33,1,7000,25,4,5,10.0,0.0,77,exhaustion_altitude_sickness,0,0
CLB000033,2021,autumn,South Col-SE Ridge,27,M,0,17,1,1,8035,mid,7,0.82,1,7300,48,5,2,5.0,6.7,38,exhaustion_altitude_sickness,0,0
CLB000034,2020,spring,North Ridge-NE,38,M,1,5,5,0,7961,premium,3,1.31,1,7300,28,4,7,7.6,4.6,17,summited,0,1
CLB000035,2009,spring,South Col-SE Ridge,18,M,0,19,0,1,5821,premium,8,1.8,1,7300,25,5,3,4.9,4.6,8,summited,0,1
CLB000036,2024,spring,South Col-SE Ridge,16,M,1,10,2,0,7632,budget,5,0.33,1,7300,28,4,9,6.2,5.4,34,summited,0,1
CLB000037,2005,spring,South Col-SE Ridge,49,F,0,15,1,0,7588,premium,4,1.99,1,7000,36,4,3,6.0,3.0,9,summited,0,1
CLB000038,2023,spring,South Col-SE Ridge,35,M,0,8,0,1,6515,independent,6,0.0,1,7000,20,2,9,9.2,0.2,140,death_zone_crowding,0,0
CLB000039,2007,spring,South Col-SE Ridge,28,M,1,10,4,0,7463,budget,12,0.69,1,7000,30,2,5,6.9,4.3,7,summited,0,1
CLB000040,1993,spring,North Ridge-NE,40,M,0,11,1,0,8479,mid,5,0.78,1,7900,34,2,9,6.8,2.3,1,summited,0,1
CLB000041,2009,spring,South Col-SE Ridge,24,M,0,21,2,0,7539,premium,7,1.42,1,7300,29,1,6,7.4,2.7,6,exhaustion_altitude_sickness,0,0
CLB000042,2022,spring,South Col-SE Ridge,37,M,0,0,0,0,5991,budget,13,1.04,1,7900,37,3,5,8.4,2.7,36,illness,0,0
CLB000043,1997,spring,North Ridge-NE,39,M,1,15,4,0,7968,budget,16,0.6,1,7000,23,2,5,10.0,0.0,1,team_decision,0,0
CLB000044,2021,spring,South Col-SE Ridge,35,M,0,7,0,0,6434,premium,9,1.43,1,7900,30,3,5,7.4,2.1,84,summited,0,1
CLB000045,1992,spring,South Col-SE Ridge,36,F,1,11,3,1,8245,mid,7,1.01,1,8000,40,2,7,4.5,5.5,19,summited,0,1
CLB000046,2012,spring,North Ridge-NE,17,F,1,17,2,0,7661,premium,9,1.4,1,7000,31,2,8,4.4,7.1,46,summited,0,1
CLB000047,2006,autumn,South Col-SE Ridge,34,M,1,0,5,1,8078,mid,8,1.02,1,7000,32,4,3,6.1,3.4,5,summited,0,1
CLB000048,1997,spring,South Col-SE Ridge,41,M,0,7,4,0,8380,budget,11,0.98,1,7000,34,4,2,3.7,7.0,17,summited,0,1
CLB000049,2003,spring,South Col-SE Ridge,30,M,1,1,1,0,8061,independent,7,0.3,1,7300,35,3,6,6.6,5.4,11,illness,0,0
CLB000050,2004,spring,North Ridge-NE,29,M,0,15,0,0,7417,mid,8,0.83,1,7900,41,4,4,5.8,2.3,3,summited,0,1
CLB000051,2014,spring,South Col-SE Ridge,32,M,0,15,6,0,8528,independent,14,0.0,1,7300,37,4,2,8.5,0.2,59,exhaustion_altitude_sickness,0,0
CLB000052,2019,spring,other,43,M,0,17,0,0,6114,budget,8,0.45,1,7900,25,3,6,6.0,4.4,11,other,0,0
CLB000053,2006,spring,South Col-SE Ridge,45,M,1,17,7,0,8107,mid,7,1.05,1,7300,31,2,6,5.6,5.9,6,summited,0,1
CLB000054,2022,spring,South Col-SE Ridge,38,F,1,19,5,1,8009,budget,9,0.56,1,7900,39,6,5,6.2,0.6,63,exhaustion_altitude_sickness,0,0
CLB000055,2008,spring,other,35,M,1,7,2,0,8112,budget,8,0.97,1,7900,16,3,5,6.1,3.4,11,summited,0,1
CLB000056,2023,spring,North Ridge-NE,38,M,0,4,2,0,7957,premium,9,2.07,1,7000,23,3,7,8.8,2.5,18,summited,0,1
CLB000057,2013,spring,South Col-SE Ridge,41,M,0,5,1,0,8411,independent,11,0.34,1,7300,27,4,1,2.6,5.6,53,weather_window_closed,0,0
CLB000058,2000,spring,South Col-SE Ridge,38,M,0,21,1,0,8108,mid,12,0.9,1,7900,43,4,3,5.4,4.1,11,team_decision,0,0
CLB000059,2021,spring,South Col-SE Ridge,20,M,0,0,0,1,6244,independent,7,0.45,1,7900,32,3,4,5.8,5.9,114,weather_window_closed,0,0
CLB000060,2014,spring,South Col-SE Ridge,48,M,0,3,1,0,7744,budget,10,0.7,1,8000,33,4,4,3.3,7.2,44,exhaustion_altitude_sickness,0,0
CLB000061,2025,spring,other,28,M,1,12,6,0,8185,budget,6,0.53,1,7000,38,5,6,2.6,7.7,38,weather_window_closed,0,0
CLB000062,2022,summer,South Col-SE Ridge,41,M,0,9,0,0,6460,mid,8,1.21,1,7300,43,1,4,0.5,10.0,28,summited,0,1
CLB000063,2021,spring,South Col-SE Ridge,45,M,0,18,0,0,6642,premium,9,1.79,1,7000,29,5,6,8.6,3.1,81,summited,0,1
CLB000064,1998,spring,South Col-SE Ridge,41,M,0,12,2,0,7995,premium,9,1.01,1,7300,35,6,6,3.4,9.2,19,summited,0,1
CLB000065,1995,spring,South Col-SE Ridge,27,M,0,20,2,0,8476,budget,13,0.33,1,7300,35,1,5,1.8,5.7,4,exhaustion_altitude_sickness,1,0
CLB000066,2007,spring,South Col-SE Ridge,49,M,0,12,0,0,6135,budget,8,0.52,1,7300,28,4,6,4.2,5.1,5,summited,0,1
CLB000067,2012,spring,North Ridge-NE,37,M,0,11,0,0,7451,mid,8,0.14,1,7300,31,4,6,5.1,5.5,2,exhaustion_altitude_sickness,0,0
CLB000068,1998,spring,North Ridge-NE,26,M,0,0,2,0,8268,premium,10,1.86,1,8000,38,2,4,7.1,3.7,5,summited,0,1
CLB000069,1994,spring,South Col-SE Ridge,38,M,0,15,0,0,7702,mid,8,1.01,1,7000,23,5,7,5.8,3.9,6,frostbite,0,0
CLB000070,2012,autumn,South Col-SE Ridge,18,F,0,27,2,2,8198,premium,4,1.59,1,7300,35,5,4,8.9,0.1,108,summited,0,1
CLB000071,2000,spring,South Col-SE Ridge,51,F,0,28,4,0,8629,mid,10,1.48,1,7000,38,2,6,7.1,3.2,27,summited,0,1
CLB000072,1995,spring,South Col-SE Ridge,52,M,1,9,3,0,8498,budget,7,0.47,0,0,29,3,5,1.6,10.0,14,illness,0,0
CLB000073,2014,spring,North Ridge-NE,19,M,0,14,2,0,8300,mid,12,0.81,1,7300,40,5,6,7.8,3.1,9,summited,0,1
CLB000074,2002,spring,North Ridge-NE,16,M,0,20,1,0,8561,budget,6,1.12,1,8000,38,2,2,5.2,2.6,10,summited,0,1
CLB000075,2012,spring,South Col-SE Ridge,42,M,0,0,1,0,8249,mid,7,1.08,1,7300,42,2,7,9.4,0.0,95,summited,0,1
CLB000076,2020,spring,North Ridge-NE,18,M,1,9,4,2,7546,mid,12,1.01,1,7300,28,1,6,8.8,0.5,82,exhaustion_altitude_sickness,0,0
CLB000077,1997,spring,North Ridge-NE,35,M,0,17,0,0,5952,budget,10,0.51,1,7300,37,3,6,7.5,1.4,2,weather_window_closed,0,0
CLB000078,2008,spring,South Col-SE Ridge,46,M,1,13,4,0,8006,budget,15,0.42,1,7900,29,2,3,6.4,5.5,16,team_decision,0,0
CLB000079,1991,spring,South Col-SE Ridge,16,M,1,2,3,0,7950,budget,6,0.2,1,7900,32,1,3,2.4,9.5,26,exhaustion_altitude_sickness,0,0
CLB000080,2026,summer,South Col-SE Ridge,41,F,0,7,1,0,8265,premium,8,1.89,1,7900,35,1,5,5.1,4.7,152,summited,0,1
CLB000081,2022,summer,South Col-SE Ridge,48,F,1,15,2,0,7754,premium,8,1.61,1,7000,23,2,10,7.7,0.3,47,summited,0,1
CLB000082,2020,spring,South Col-SE Ridge,31,M,1,23,6,0,7918,independent,13,0.53,1,7300,36,6,3,5.2,3.6,50,exhaustion_altitude_sickness,0,0
CLB000083,2019,autumn,other,50,M,0,1,0,1,7100,mid,6,0.96,1,7000,25,4,5,7.6,2.8,25,frostbite,0,0
CLB000084,2001,spring,South Col-SE Ridge,44,M,0,7,3,0,8587,mid,12,1.1,1,7900,42,3,4,5.6,3.7,33,summited,0,1
CLB000085,2022,spring,South Col-SE Ridge,49,F,0,6,0,0,6378,mid,9,0.98,1,7000,30,4,10,8.0,1.6,32,exhaustion_altitude_sickness,0,0
CLB000086,2016,autumn,South Col-SE Ridge,42,M,0,17,6,1,8220,budget,5,0.24,1,7300,32,2,7,7.2,2.0,101,other,0,0
CLB000087,2001,spring,South Col-SE Ridge,33,M,1,14,3,0,7984,budget,7,0.79,1,7000,39,2,7,5.0,4.2,4,exhaustion_altitude_sickness,0,0
CLB000088,2019,spring,South Col-SE Ridge,38,M,1,6,9,0,8510,budget,7,0.72,1,8000,30,6,7,8.7,0.4,16,exhaustion_altitude_sickness,0,0
CLB000089,2011,spring,South Col-SE Ridge,41,F,0,14,2,0,8375,mid,8,0.82,1,7000,40,2,3,5.7,3.5,20,summited,0,1
CLB000090,2015,spring,South Col-SE Ridge,24,M,0,8,2,0,7563,mid,11,0.97,1,7000,33,1,7,6.6,2.4,147,death_zone_crowding,0,0
CLB000091,1998,spring,North Ridge-NE,45,F,0,15,1,0,8107,independent,11,0.36,0,0,24,1,1,6.7,0.6,9,oxygen_exhaustion,0,0
CLB000092,2026,spring,North Ridge-NE,41,M,0,22,0,0,6680,premium,9,2.6,1,7900,38,6,8,4.1,8.3,33,summited,0,1
CLB000093,1998,spring,South Col-SE Ridge,31,F,0,14,1,0,8522,premium,6,2.21,1,7900,31,5,7,8.6,1.2,44,summited,0,1
CLB000094,2020,spring,South Col-SE Ridge,52,M,0,7,2,0,8434,mid,13,0.56,1,7000,21,4,2,4.3,8.7,100,weather_window_closed,0,0
CLB000095,2014,spring,North Ridge-NE,25,M,0,9,0,0,5958,mid,16,0.63,1,7300,31,4,12,5.5,1.3,23,weather_window_closed,0,0
CLB000096,2000,winter,South Col-SE Ridge,25,M,1,9,2,0,7557,mid,12,1.65,1,7000,25,6,2,6.3,4.7,4,other,0,0
CLB000097,2005,spring,South Col-SE Ridge,30,M,0,22,0,2,6360,independent,7,0.78,1,7300,36,4,4,9.2,0.0,1,summited,0,1
CLB000098,1998,spring,North Ridge-NE,35,F,1,13,4,0,8193,independent,5,0.43,0,0,27,4,5,7.7,5.4,1,oxygen_exhaustion,0,0
CLB000099,2023,spring,South Col-SE Ridge,41,F,0,15,0,0,6333,premium,4,1.46,1,7000,32,5,3,2.7,6.7,163,other,0,0
CLB000100,2014,spring,South Col-SE Ridge,38,M,0,7,3,0,8564,premium,9,1.08,1,7900,22,4,7,6.3,6.2,102,frostbite,0,0
CLB000101,2020,spring,South Col-SE Ridge,31,M,0,18,0,1,7189,mid,8,0.88,1,7300,34,5,3,9.8,0.0,55,summited,0,1
CLB000102,2003,spring,South Col-SE Ridge,30,M,0,14,0,0,5879,budget,15,0.85,1,7900,30,3,5,10.0,0.0,3,frostbite,0,0
CLB000103,2000,spring,South Col-SE Ridge,30,M,0,7,3,0,7646,budget,9,0.7,1,7900,17,2,2,9.7,0.0,26,team_decision,0,0
CLB000104,1996,spring,North Ridge-NE,52,F,0,20,0,0,6960,mid,5,0.72,1,7000,33,1,3,6.1,4.1,4,summited,0,1
CLB000105,2018,spring,South Col-SE Ridge,58,M,0,7,1,0,8383,mid,10,1.26,1,7300,35,2,7,5.3,4.4,37,summited,0,1
CLB000106,2009,spring,South Col-SE Ridge,44,M,0,10,1,0,7985,premium,11,1.19,1,7900,32,3,7,5.5,3.0,8,summited,0,1
CLB000107,2019,spring,South Col-SE Ridge,50,M,0,11,0,0,6165,independent,8,0.36,1,7300,31,1,8,4.0,5.7,42,summited,0,1
CLB000108,1996,spring,South Col-SE Ridge,29,F,0,11,2,3,7964,independent,9,0.79,0,0,34,4,4,8.7,1.5,1,oxygen_exhaustion,0,0
CLB000109,2011,spring,South Col-SE Ridge,44,M,0,2,3,0,8326,independent,7,0.42,1,7900,35,1,4,6.1,3.5,16,frostbite,0,0
CLB000110,2020,spring,North Ridge-NE,30,M,1,8,7,0,8664,budget,10,0.41,1,7000,27,5,6,9.0,1.1,52,weather_window_closed,0,0
CLB000111,2012,spring,South Col-SE Ridge,24,M,0,8,2,0,8187,mid,6,0.91,1,7900,28,2,5,6.7,3.1,51,summited,0,1
CLB000112,2011,spring,South Col-SE Ridge,38,M,0,2,0,0,6477,budget,6,0.8,1,7900,41,4,5,6.9,2.7,12,summited,0,1
CLB000113,1990,spring,South Col-SE Ridge,44,M,0,13,0,0,7120,mid,9,1.46,1,7000,25,2,8,6.4,5.3,1,weather_window_closed,0,0
CLB000114,2026,spring,North Ridge-NE,34,M,0,12,0,1,7893,budget,17,0.71,1,7000,24,2,9,6.2,3.0,72,summited,0,1
CLB000115,2008,spring,South Col-SE Ridge,34,M,0,17,0,0,4982,budget,8,0.41,1,7300,34,2,2,8.6,2.0,3,exhaustion_altitude_sickness,0,0
CLB000116,2026,spring,North Ridge-NE,59,M,0,6,3,1,7516,budget,4,0.37,1,7300,33,3,6,8.0,3.1,116,exhaustion_altitude_sickness,0,0
CLB000117,2002,spring,South Col-SE Ridge,28,M,0,5,1,0,8330,premium,11,1.19,1,7300,28,5,8,3.2,8.9,10,exhaustion_altitude_sickness,0,0
CLB000118,2010,spring,South Col-SE Ridge,46,M,1,26,3,0,8316,mid,9,0.8,1,7000,27,1,6,6.6,4.9,21,weather_window_closed,0,0
CLB000119,2024,spring,North Ridge-NE,31,M,0,17,0,1,5655,independent,14,0.36,0,0,36,3,4,6.2,4.6,8,oxygen_exhaustion,0,0
CLB000120,1996,spring,South Col-SE Ridge,35,M,1,15,2,0,8720,budget,8,0.29,0,0,40,2,8,9.8,1.3,7,illness,0,0
CLB000121,2011,spring,South Col-SE Ridge,40,M,0,8,0,0,8232,premium,10,1.23,1,7900,24,1,5,8.0,0.8,2,exhaustion_altitude_sickness,0,0
CLB000122,2010,spring,South Col-SE Ridge,38,M,1,3,3,0,8050,budget,11,0.19,1,7900,47,6,4,6.7,2.7,18,summited,0,1
CLB000123,2023,spring,South Col-SE Ridge,30,M,0,10,0,1,6141,independent,8,0.3,1,7000,26,5,5,3.3,6.5,98,weather_window_closed,0,0
CLB000124,2024,spring,South Col-SE Ridge,48,M,0,7,0,0,6914,premium,11,2.31,1,7900,33,4,2,7.6,2.9,251,exhaustion_altitude_sickness,0,0
CLB000125,2021,spring,South Col-SE Ridge,29,M,0,12,0,0,7213,mid,10,1.38,1,7300,36,2,2,4.0,8.0,3,exhaustion_altitude_sickness,0,0
CLB000126,1996,autumn,North Ridge-NE,46,M,0,20,1,0,8266,budget,9,1.19,1,7000,38,2,6,8.9,1.4,3,summited,0,1
CLB000127,2014,spring,South Col-SE Ridge,29,M,0,10,2,0,8402,budget,9,0.76,1,7000,33,2,4,5.6,3.9,112,frostbite,0,0
CLB000128,2020,spring,South Col-SE Ridge,38,M,0,8,1,0,7722,mid,9,1.14,1,7900,30,5,5,7.6,2.9,85,exhaustion_altitude_sickness,0,0
CLB000129,2007,spring,South Col-SE Ridge,43,M,0,7,0,0,6506,mid,16,0.89,1,7900,39,5,3,6.7,4.1,9,exhaustion_altitude_sickness,0,0
CLB000130,2014,spring,South Col-SE Ridge,37,M,0,3,4,0,8241,premium,11,1.77,1,7900,32,1,7,10.0,0.8,67,summited,0,1
CLB000131,2021,spring,South Col-SE Ridge,47,M,0,1,6,0,7945,budget,10,0.78,1,7000,35,5,8,9.4,2.2,33,summited,1,1
CLB000132,2014,winter,North Ridge-NE,41,M,1,11,2,0,8524,mid,9,1.32,1,8000,22,5,6,4.2,5.1,25,weather_window_closed,0,0
CLB000133,2000,spring,North Ridge-NE,43,M,1,8,6,0,7988,budget,9,0.93,1,7000,35,6,7,8.7,1.4,2,summited,0,1
CLB000134,2013,spring,North Ridge-NE,56,M,1,2,2,0,8105,premium,9,1.55,1,7900,26,4,3,10.0,1.5,5,summited,0,1
CLB000135,2008,spring,South Col-SE Ridge,31,M,0,0,3,1,8007,mid,4,1.15,1,7000,29,1,9,7.4,2.2,8,summited,0,1
CLB000136,2000,spring,South Col-SE Ridge,53,F,0,14,1,2,7969,budget,11,0.16,0,0,13,4,2,2.8,6.6,1,weather_window_closed,0,0
CLB000137,2001,spring,South Col-SE Ridge,38,M,0,10,4,0,8177,budget,8,0.77,0,0,24,4,4,2.4,6.6,3,oxygen_exhaustion,0,0
CLB000138,2005,spring,North Ridge-NE,21,M,0,16,2,3,8598,mid,5,1.31,1,7000,27,2,6,8.3,0.6,2,summited,0,1
CLB000139,2025,spring,South Col-SE Ridge,40,M,0,20,0,0,6051,independent,10,0.0,0,0,24,1,9,6.4,3.9,220,weather_window_closed,0,0
CLB000140,2019,spring,North Ridge-NE,44,M,1,9,6,0,8022,budget,12,0.81,1,7300,42,3,6,8.4,2.7,10,summited,0,1
CLB000141,2026,spring,South Col-SE Ridge,45,F,1,8,5,0,7182,premium,5,1.14,1,7900,32,6,6,6.9,3.5,191,summited,0,1
CLB000142,2002,autumn,South Col-SE Ridge,48,M,1,8,6,0,7691,mid,17,0.81,1,7300,35,1,4,5.4,2.2,11,summited,0,1
CLB000143,2000,spring,South Col-SE Ridge,30,M,0,4,0,2,7451,mid,16,1.1,1,7900,26,1,5,4.4,4.5,8,summited,0,1
CLB000144,2007,spring,North Ridge-NE,45,F,0,8,0,0,6197,premium,6,1.51,1,7900,38,4,5,5.3,4.6,2,weather_window_closed,0,0
CLB000145,2023,spring,South Col-SE Ridge,37,F,0,13,6,0,8558,budget,9,0.66,1,7900,28,3,8,7.9,1.5,151,death_zone_crowding,0,0
CLB000146,2010,spring,South Col-SE Ridge,41,M,0,10,4,0,8293,premium,5,1.02,1,7300,29,5,1,5.7,3.1,11,illness,0,0
CLB000147,2024,spring,South Col-SE Ridge,31,M,1,6,7,1,8033,budget,11,0.13,0,0,25,5,6,5.6,4.8,105,oxygen_exhaustion,0,0
CLB000148,1995,spring,South Col-SE Ridge,29,M,0,12,0,0,6573,mid,11,1.02,1,7300,33,6,7,7.9,3.1,4,illness,0,0
CLB000149,2015,spring,South Col-SE Ridge,39,M,0,14,1,0,7444,mid,8,0.82,1,7300,40,6,3,1.7,8.6,49,summited,0,1
CLB000150,2021,autumn,South Col-SE Ridge,35,M,0,18,0,3,8800,budget,8,0.52,0,0,21,3,3,4.7,5.0,12,other,0,0
CLB000151,1995,spring,South Col-SE Ridge,54,M,0,13,0,0,6317,budget,6,0.43,1,7300,25,3,4,3.9,5.3,22,weather_window_closed,0,0
CLB000152,2024,spring,South Col-SE Ridge,24,M,1,15,4,0,7896,budget,10,0.98,1,7300,24,2,4,8.0,2.8,59,illness,0,0
CLB000153,2019,spring,North Ridge-NE,41,F,1,3,4,0,7500,premium,10,1.75,1,8000,20,6,1,6.6,3.0,5,summited,0,1
CLB000154,2016,spring,South Col-SE Ridge,51,M,0,12,2,0,7926,mid,13,1.31,1,7000,24,4,3,6.8,5.5,120,exhaustion_altitude_sickness,0,0
CLB000155,2015,spring,South Col-SE Ridge,43,M,1,11,8,1,7788,mid,9,1.03,1,7000,23,4,2,2.2,10.0,86,exhaustion_altitude_sickness,0,0
CLB000156,2023,autumn,North Ridge-NE,47,M,0,18,3,0,7984,mid,10,0.65,1,7000,41,1,5,2.8,7.0,46,exhaustion_altitude_sickness,0,0
CLB000157,1999,spring,South Col-SE Ridge,30,F,0,13,1,0,8089,premium,5,2.35,1,7900,33,5,7,6.1,3.3,14,other,0,0
CLB000158,2022,spring,North Ridge-NE,37,F,1,16,3,0,7671,budget,9,0.93,1,7000,22,1,2,5.9,6.8,15,exhaustion_altitude_sickness,0,0
CLB000159,2006,spring,South Col-SE Ridge,36,M,0,18,0,1,6777,premium,9,1.26,1,8000,42,3,7,9.2,4.4,3,summited,0,1
CLB000160,2026,spring,South Col-SE Ridge,40,M,1,9,4,0,7885,mid,12,1.8,1,7900,34,5,5,5.9,2.7,33,summited,0,1
CLB000161,2021,spring,South Col-SE Ridge,46,M,0,8,0,0,7813,independent,13,0.48,1,8000,36,4,11,4.5,5.8,137,weather_window_closed,0,0
CLB000162,2019,autumn,South Col-SE Ridge,33,M,0,7,0,1,6642,premium,3,2.17,1,7300,25,6,7,8.5,2.6,54,summited,0,1
CLB000163,2024,spring,South Col-SE Ridge,48,F,0,8,0,0,6603,independent,11,0.27,1,7000,21,3,4,5.7,4.4,80,illness,0,0
CLB000164,2021,spring,South Col-SE Ridge,41,M,1,8,4,2,8093,mid,12,0.78,0,0,44,4,2,8.1,2.6,70,summited,0,1
CLB000165,2009,spring,South Col-SE Ridge,32,F,0,4,0,0,7938,budget,13,0.47,1,7000,34,3,4,8.1,2.0,25,exhaustion_altitude_sickness,0,0
CLB000166,2026,spring,South Col-SE Ridge,23,M,1,19,5,0,8082,independent,12,0.39,1,7000,31,4,6,4.2,4.8,211,death_zone_crowding,0,0
CLB000167,2026,spring,North Ridge-NE,43,M,1,9,1,0,8310,premium,10,1.41,1,7900,34,3,7,1.4,7.8,32,summited,0,1
CLB000168,2009,spring,South Col-SE Ridge,29,M,0,17,2,3,7771,premium,7,1.47,1,7300,29,2,4,7.6,5.0,19,summited,0,1
CLB000169,2002,spring,South Col-SE Ridge,35,M,1,0,6,0,8108,mid,7,1.09,1,7000,28,2,6,5.4,6.8,7,exhaustion_altitude_sickness,0,0
CLB000170,2025,spring,South Col-SE Ridge,47,M,1,8,4,0,8044,mid,6,0.63,1,7000,31,5,6,5.3,5.3,99,exhaustion_altitude_sickness,0,0
CLB000171,2009,spring,South Col-SE Ridge,49,F,1,11,2,0,8411,budget,9,0.22,1,7000,30,5,3,4.2,8.3,13,weather_window_closed,0,0
CLB000172,2013,spring,North Ridge-NE,31,M,1,0,6,0,7414,mid,9,1.17,0,0,34,5,7,8.2,0.1,14,exhaustion_altitude_sickness,0,0
CLB000173,1990,spring,South Col-SE Ridge,45,F,1,13,4,1,8051,premium,13,1.42,1,7000,27,3,2,4.6,5.0,5,team_decision,0,0
CLB000174,2000,spring,South Col-SE Ridge,34,M,0,10,3,0,8177,budget,5,0.66,1,7300,30,2,6,3.5,8.1,5,summited,0,1
CLB000175,2024,spring,North Ridge-NE,40,M,1,4,3,3,7952,independent,8,0.61,1,7900,29,6,1,8.6,2.3,48,summited,0,1
